Time (ns)	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
0.0	20.341940033685173	-13.991470866571875	-29.153637072846667	-11.754572033171824	-95.8749040743847	10.436064198812623	-17.055205775188703	-27.30871111623748	-9.632252330979327	11.075250260515354	-8.400663266140267	-3.1917183277664387	-2.229889853479191	-13.955938195002993	-18.134138828418262	2.9068026712060626	12.090916322059542	-0.952702018568484	6.915188408733039	16.657688160911658
0.05	25.407916321707305	-7.404989851288165	-22.98430369333549	-5.448611047209985	-92.55991059894617	12.418404774527465	-12.249326979311785	-18.573038937908354	-9.614544486559362	15.510025676230772	1.2866866896479048	2.9351514907152243	-4.765044092882276	-20.635991870173292	-20.101889488874676	4.8738972563968455	12.266616255806124	2.4725498891931657	8.548763935040263	10.506626895041112
0.1	33.52137303639623	-8.608739900029384	-36.07099596931688	-17.91139765939003	-93.51997656815854	7.912679712881669	-13.663794515818129	-22.998612885722867	-10.056600834614649	15.140625420779157	8.457831421607134	-0.5411434937626272	-4.892976785687237	-19.974168737101888	-15.100944526662808	1.5615438955509835	14.757196690861646	1.5126249642901213	0.7278232906257949	15.682284011035701
0.15	34.001239387014856	2.767201352431374	-32.81143123860297	-11.080300118155607	-95.59643939188398	4.558413080122599	-15.217824772806148	-19.839767580126654	-7.885049674303812	13.438078494021187	8.778486360772083	5.94257433190829	-5.327122997931383	-16.147176196670618	-13.56421161801475	6.923935702325451	9.447907183158106	-0.8693575864040493	-2.0027182925568665	15.053274238409992
0.2	32.45300114070345	-1.0837029064018453	-34.2687019154793	-16.355756579272683	-88.82446206887789	9.003059931698129	-18.24334612053615	-16.78396259719827	-14.208274709752448	8.416027521208091	0.8056994584463659	4.824712082014299	-4.895599595917293	-14.210404615121812	-15.084262514107744	13.644558955535913	13.583127604745377	0.44200550371680825	0.8050970133437101	18.90224874435914
0.25	40.722191716869595	8.84530527501323	-43.6301285157583	-16.58221092687939	-87.17852794038524	1.1833429474133448	-26.054018295018118	-17.650027898343733	-16.856132675449928	12.929217162122228	5.532442153581075	4.16466733625056	-6.177909970850024	-16.125616830040695	-0.8033907112014493	9.872337679450297	10.12087280888165	5.933775466978845	-2.3460940979079554	11.78547244494505
0.3	43.6933014698268	13.203764799120771	-41.24414014579821	-16.08459702347772	-85.21387842623066	3.082675017914401	-17.618145122234285	-10.182046238347791	-9.930583512199801	17.777673507910695	3.653086023213346	-0.34048570168725556	-2.138301165931098	-18.10153012190697	-0.9871082672821161	13.593293056713529	6.0136305324964585	8.157118289376466	-2.4292359361691167	8.132160680238297
0.35	54.546462672858034	20.262774230386828	-38.905980606989615	-22.025026189547305	-78.63820912668363	3.170923988107253	-19.134550014665848	-1.8751836460779532	2.078477650321908	18.28287265361158	1.8556054379381939	4.157219778514191	-5.476455090263268	-22.696100396498426	0.5811113893610487	9.99257928611887	8.529574998870011	4.067313935976948	6.218106051874747	13.3718358616268
0.4	53.40770927653714	16.137315890073523	-41.693923882594355	-23.92942473116064	-75.37039631360712	4.8356710412806425	-23.984869020766588	-3.0405898338697037	-3.53779110467622	21.981170886437532	1.0593456191241302	-1.8042640165546773	-1.7818949335316032	-25.283757003405142	1.580229742534048	23.096960347997864	10.709111375574327	6.394057095310502	-2.3448603143314357	4.236911295001623
0.45	57.701515937413376	14.992641200313438	-37.487519622910135	-31.503035069301472	-69.01591593516584	9.34539829659724	-25.443621689534265	-5.346844174614395	3.905086543876092	30.073754157523695	7.408595784007023	2.8077190257144693	-2.7040454641572245	-24.637958643341936	0.6640455567097188	17.411373440947933	10.014291750474428	9.077156124166002	-0.5999709301567782	4.48984015904125
0.5	57.4182491001062	16.11329142378172	-43.55653088885388	-39.444437335995964	-66.88818750402415	4.972936966569733	-20.57652570252433	-2.1753467772436195	7.870692135412731	23.731214771766645	5.8949074828805905	1.8272462063741641	-7.9134411453369236	-25.44630747438246	6.032700958641252	14.569003577855145	10.075107673515427	5.824466349462885	-3.102245066739424	9.711348155317282
0.55	66.79107573131185	19.420557682731165	-43.76937096615056	-41.45067463693692	-55.633014402620645	6.058965857747165	-14.493206055345023	0.9850924646471992	-8.590246947579654	29.174297661799407	11.560227738194927	-0.5838206596427977	-11.78451170298298	-24.62442810741196	5.249859008822035	13.78809523410438	16.523342562587203	8.637542516989079	-6.630842897258949	3.503529455923048
0.6	65.10596858970217	19.739705742320616	-41.88276464236575	-37.53633456642789	-62.04003285485743	5.725133021146314	-19.763804818711026	-1.9302537695182402	-6.509971647144712	21.937630314380677	13.533231808950989	-1.4058275550103594	-14.136122819038299	-26.156799580932084	2.079084110433752	10.782847425014628	16.697652753822698	7.327496203993307	-2.9355000090476215	4.194568312417486
0.65	69.69299728327506	19.489697012344898	-44.989768293120065	-36.574140542839594	-58.89148690285932	5.885068603104289	-22.413768102071803	2.651368225898157	4.525343424577713	25.3365873628526	15.503330831833546	-3.159694802960176	-16.568828450460938	-29.65939400852169	6.249900201870445	16.29594109988037	16.389386448784638	8.55350540808587	-3.633306737701628	1.9238997223071972
0.7	66.97839606213063	23.519964459409145	-48.29392802839754	-37.926334463398575	-55.99945183390251	5.129600120047345	-27.854770381139264	-11.419984711735106	-6.036434584800809	27.861312966877662	13.57740735817134	0.23235453691469177	-14.746457473398957	-29.158778242740883	-3.4889339671809463	18.193726156140247	18.337118781169863	11.577520195122895	-7.243411519284893	4.345058394295492
0.75	64.8602583266507	23.860838419227314	-45.60705320842626	-43.79254052222971	-54.659318377421556	7.279718973670653	-26.271112125349514	-12.465450889022172	-5.667702297518553	26.154339078796653	11.118913345328481	-5.309270903299987	-19.58204630914373	-27.718522841109454	7.71426279406182	19.767843762324915	16.395495047704696	12.798771006941378	-6.287032764021277	1.759746513367236
0.8	66.06671101635511	24.928884004077442	-42.08944957488805	-39.478892768633195	-52.524691731160054	4.4805976281837765	-23.576149602796114	-5.130760656438291	0.6230736730018901	28.671431885532197	5.9522473142846355	-3.7909705089534373	-18.15129104894105	-32.72074671967072	1.625675842718387	19.966670557242757	16.308817080738322	5.887531683375366	-4.104353205217632	4.6141661378281125
